X-axis Y-axis
0.000000000000000000e+00 2.650000000000000000e+01
1.000000000000000000e+00 2.425000000000000000e+01
2.000000000000000000e+00 1.575000000000000000e+01
3.000000000000000000e+00 2.350000000000000000e+01
4.000000000000000000e+00 1.650000000000000000e+01
5.000000000000000000e+00 2.975000000000000000e+01
6.000000000000000000e+00 2.050000000000000000e+01
7.000000000000000000e+00 3.050000000000000000e+01
8.000000000000000000e+00 2.350000000000000000e+01
9.000000000000000000e+00 1.200000000000000000e+01
